item,quantity,unit_mass_kg,subtotal_mass_kg,status,notes
XL330-M288-T,6,0.018,0.10799999999999998,candidate,"hip yaw, hip pitch, ankle roll; each side"
XC330-M288-T,6,0.023,0.138,candidate,"hip roll, knee, ankle pitch; each side"
Tab5,1,0.1184,0.1184,datasheet-derived baseline,landscape face; mounting thread depth to verify
Battery reservation,1,0.103,0.103,assumed,K145 envelope candidate; electrical compatibility unresolved
5 V converter reservation,1,0.02,0.02,assumed,part number/rating unresolved; EPIC #6
Communication interface reservation,1,0.012,0.012,assumed,part number/circuit unresolved; EPIC #7
Harness and miscellaneous fasteners allowance,1,0.025,0.025,assumed,"wire lengths, connector/fastener quantities unresolved; excludes dedicated two tray screws"
Battery strap reservation,1,0.0012,0.0012,assumed,strap specification unresolved
Dedicated battery screw reservation,2,0.0003,0.0006,assumed,M2 envelope; length/engagement unresolved
Printed structure and remaining CAD allocation,1,0.3922400455756534,0.3922400455756534,derived aggregate,"remainder after commercial/allowance allocation; includes body, cover, tray, supports, links and soles; not an independently measured mass"
