case_id,drive_input,permission_command,logic_power,communication_power,status
D01,present_enabled,enable_request,on,on,not_run
D02,present_enabled,enable_request,on,off,not_run
D03,present_enabled,enable_request,off,on,not_run
D04,present_enabled,enable_request,off,off,not_run
D05,present_disabled,stop,on,on,not_run
D06,present_disabled,stop,on,off,not_run
D07,present_disabled,stop,off,on,not_run
D08,present_disabled,stop,off,off,not_run
D09,physically_disconnected,stop,on,on,not_run
D10,physically_disconnected,stop,on,off,not_run
D11,physically_disconnected,stop,off,on,not_run
D12,physically_disconnected,stop,off,off,not_run
D13,held_at_0V,stop,on,on,not_run
D14,held_at_0V,stop,on,off,not_run
D15,held_at_0V,stop,off,on,not_run
D16,held_at_0V,stop,off,off,not_run
