#{"t_start": 1789829171.0527742, "env_id": "None"}
r,l,t
1296.077496,1500,30.826851
1172.511842,1500,61.581409
985.601623,1500,93.141958
974.498455,1500,128.951775
807.519587,1500,165.599072
1122.793517,1500,199.673407
817.113818,1500,236.249819
-48.82022,1500,270.967293
1111.579056,1500,307.965644
1242.069513,1500,342.776858
1173.035963,1500,379.130052
1288.409651,1500,414.710542
518.461274,1500,451.059646
187.372745,242,456.938459
150.446405,210,463.44143
1228.174649,1500,501.02679
1302.121639,1500,536.607703
900.626054,1500,571.929239
542.905446,1093,597.630365
1113.088019,1500,632.754156
1135.214728,1500,678.691806
-194.831605,1500,721.543061
1265.70866,1500,778.212852
