#{"t_start": 1789828352.1058006, "env_id": "None"}
r,l,t
1258.712029,1500,109.621679
1262.977476,1500,175.056457
1183.322602,1500,234.154011
1242.770878,1500,293.274682
1030.599851,1500,348.098467
1175.611112,1500,399.646416
228.430556,310,407.374582
1242.410884,1500,442.429333
1284.298995,1500,477.160119
1198.997781,1500,511.897501
1320.708022,1500,544.106775
1135.415229,1500,575.507162
1068.445206,1500,606.470343
1219.73291,1500,638.271791
1257.355684,1500,669.53427
1286.205832,1500,702.490088
1121.945124,1500,733.363402
