part_or_type,quantity,references
103AT-2,2,TH_CELL TH_FET
74LVC1G17GV,1,U_BQ_RESET_BUFFER
BAS116,1,D_BAT
BAT46W-7-F,1,D_REG0
BQ7694202PFBR,1,U_CELL_PROTECT
BZT52H-C16,2,D_GS_CHG D_GS_DSG
C0603C223K4RACTU,1,C_REGIN
C1206C104J3GACAUTO,25,C_F0_0 C_F0_1 C_F0_2 C_F0_3 C_F0_4 C_F0_5 C_F1_0 C_F1_1 C_F1_2 C_F1_3 C_F1_4 C_F1_5 C_F2_0 C_F2_1 C_F2_2 C_F2_3 C_F2_4 C_F2_5 C_F3_0 C_F3_1 C_F3_2 C_F3_3 C_F3_4 C_F3_5 C_CURRENT
C1206C105K3RACTU,7,C_BAT C_REG18_0 C_REG18_1 C_REG18_2 C_CP1 C_REG0 C_REG1
CSD18540Q5BT,2,Q_CHG Q_DSG
FCX495TA,1,Q_REG0
GRM31C5C1H104JA01L,12,C_REG0_PROTECT_IN_1 C_REG0_PROTECT_IN_2 C_REG0_PROTECT_OUT_1 C_REG0_PROTECT_OUT_2 C_BQ_HOST_HF C_BQ_HOST_NRST C_BQ_HOST_SUP C_BQ_WD C_BQ_RESET_BUFFER C_BQ_PERMIT_LATCH C_BQ_MAIN_GATE C_BQ_AUX_GATE
GRM31CR71H475KA12L,1,C_BQ_HOST_BULK
SN74LVC1G08DBVR,2,U_BQ_MAIN_GATE U_BQ_AUX_GATE
SN74LVC1G74DCTR,1,U_BQ_PERMIT_LATCH
STM32G030F6P6,1,U_BQ_HOST
TNPW0603100KBEEA,1,R_BQ_HOST_NRST
TNPW0603100RBEEA,2,R_SRP R_SRN
TNPW060310K0BEEA,12,R_LD R_PACK R_ALLOW_PD R_REG0_UV_BOTTOM R_REG0_OV_BOTTOM R_BQ_ALERT R_BQ_HOST_HEARTBEAT_PD R_BQ_HOST_SUP_BOTTOM R_BQ_WD_CWD R_MAIN_REQUEST_RAW_PD R_AUX_REQUEST_RAW_PD R_ARM_EDGE_PD
TNPW0603118KBEEA,1,R_REG0_ILIM
TNPW0603124KBEEA,1,R_REG0_OV_TOP
TNPW06031K00BEEA,3,R_GATE_CHG R_GATE_DSG R_ALLOW_SER
TNPW060322R1BEEA,4,R_CELL_0 R_CELL_1 R_CELL_2 R_CELL_3
TNPW06032K21BEEA,2,R_BQ_SCL R_BQ_SDA
TNPW060340K2BEEA,1,R_REG0_UV_TOP
TNPW060347K5BEEA,1,R_BQ_AUX_START_REQUEST_PD
TNPW060357K6BEEA,1,R_BQ_HOST_SUP_TOP
TNPW08051M00BEEA,2,R_GS_CHG R_GS_DSG
TNPW0805402KBEEA,1,R_REG0_MODE
TNPW1206100RBEEA,1,R_BAT
TNPW120644R2BEEA,2,R_REG0_0 R_REG0_1
TPS26600RHFR,1,U_REG0_LIMIT
TPS3431SDRBR,1,U_BQ_WD
TPS3808G01DBVR,1,U_BQ_HOST_SUP
WSK25125L000FEA,1,R_SHUNT
