reference,part_candidate,value,pin,net
UDET_A,TPS3700DDCR,,1,CMD_A
UDET_A,TPS3700DDCR,,2,GND
UDET_A,TPS3700DDCR,,3,SENSE_A
UDET_A,TPS3700DDCR,,4,GND
UDET_A,TPS3700DDCR,,5,SERVO_BUS
UDET_A,TPS3700DDCR,,6,NC_OUTB_A
UDRV_A,UCC27517DBVR,,1,SERVO_BUS
UDRV_A,UCC27517DBVR,,2,GND
UDRV_A,UCC27517DBVR,,3,CMD_A
UDRV_A,UCC27517DBVR,,4,GND
UDRV_A,UCC27517DBVR,,5,DRIVE_A
Q_A,AO3400A,logical pins only,G,GATE_A
Q_A,AO3400A,logical pins only,D,DRAIN_A
Q_A,AO3400A,logical pins only,S,SOURCE_A
RTOP_A,TNPW0603127KBYEA,127k,1,SERVO_BUS
RTOP_A,TNPW0603127KBYEA,127k,2,SENSE_A
RBOT_A,TNPW060310K0BYEA,10k,1,SENSE_A
RBOT_A,TNPW060310K0BYEA,10k,2,GND
RPULL_A,TBD,10k candidate,1,SERVO_BUS
RPULL_A,TBD,10k candidate,2,CMD_A
RGATE_A,TBD,TBD,1,DRIVE_A
RGATE_A,TBD,TBD,2,GATE_A
RGS_A,TBD,TBD,1,GATE_A
RGS_A,TBD,TBD,2,SOURCE_A
RBRAKE_A,Vishay AC10 order code TBD,5.1 ohm candidate,1,SERVO_BUS
RBRAKE_A,Vishay AC10 order code TBD,5.1 ohm candidate,2,DRAIN_A
RSHUNT_A,TBD,0.1 ohm candidate,1,SOURCE_A
RSHUNT_A,TBD,0.1 ohm candidate,2,GND
CDET_A,TBD,TBD effective capacitance,1,SERVO_BUS
CDET_A,TBD,TBD effective capacitance,2,GND
CDRV_A,TBD,TBD effective capacitance,1,SERVO_BUS
CDRV_A,TBD,TBD effective capacitance,2,GND
UDET_B,TPS3700DDCR,,1,CMD_B
UDET_B,TPS3700DDCR,,2,GND
UDET_B,TPS3700DDCR,,3,SENSE_B
UDET_B,TPS3700DDCR,,4,GND
UDET_B,TPS3700DDCR,,5,SERVO_BUS
UDET_B,TPS3700DDCR,,6,NC_OUTB_B
UDRV_B,UCC27517DBVR,,1,SERVO_BUS
UDRV_B,UCC27517DBVR,,2,GND
UDRV_B,UCC27517DBVR,,3,CMD_B
UDRV_B,UCC27517DBVR,,4,GND
UDRV_B,UCC27517DBVR,,5,DRIVE_B
Q_B,AO3400A,logical pins only,G,GATE_B
Q_B,AO3400A,logical pins only,D,DRAIN_B
Q_B,AO3400A,logical pins only,S,SOURCE_B
RTOP_B,TNPW0603127KBYEA,127k,1,SERVO_BUS
RTOP_B,TNPW0603127KBYEA,127k,2,SENSE_B
RBOT_B,TNPW060310K0BYEA,10k,1,SENSE_B
RBOT_B,TNPW060310K0BYEA,10k,2,GND
RPULL_B,TBD,10k candidate,1,SERVO_BUS
RPULL_B,TBD,10k candidate,2,CMD_B
RGATE_B,TBD,TBD,1,DRIVE_B
RGATE_B,TBD,TBD,2,GATE_B
RGS_B,TBD,TBD,1,GATE_B
RGS_B,TBD,TBD,2,SOURCE_B
RBRAKE_B,Vishay AC10 order code TBD,5.1 ohm candidate,1,SERVO_BUS
RBRAKE_B,Vishay AC10 order code TBD,5.1 ohm candidate,2,DRAIN_B
RSHUNT_B,TBD,0.1 ohm candidate,1,SOURCE_B
RSHUNT_B,TBD,0.1 ohm candidate,2,GND
CDET_B,TBD,TBD effective capacitance,1,SERVO_BUS
CDET_B,TBD,TBD effective capacitance,2,GND
CDRV_B,TBD,TBD effective capacitance,1,SERVO_BUS
CDRV_B,TBD,TBD effective capacitance,2,GND
