reference,part,pin,net
LEFT_U12,TPS3700DDCR,1,LEFT_PG_CONDITIONED_OD
LEFT_U12,TPS3700DDCR,2,GND
LEFT_U12,TPS3700DDCR,3,LEFT_PG_DIVIDED
LEFT_U12,TPS3700DDCR,4,GND
LEFT_U12,TPS3700DDCR,5,LOGIC3V3
LEFT_U12,TPS3700DDCR,6,NC
LEFT_U13,74LVC1G17GV,1,NC
LEFT_U13,74LVC1G17GV,2,LEFT_PG_CONDITIONED_OD
LEFT_U13,74LVC1G17GV,3,GND
LEFT_U13,74LVC1G17GV,4,LEFT_PG_CONDITIONED
LEFT_U13,74LVC1G17GV,5,LOGIC3V3
LEFT_R10,TNPW0603150KBYEA,1,LOGIC3V3
LEFT_R10,TNPW0603150KBYEA,2,LEFT_PG_SOURCE
LEFT_R11,TNPW08051M00BYEA,1,LEFT_EFUSE_PG
LEFT_R11,TNPW08051M00BYEA,2,LEFT_PG_DIVIDED
LEFT_R12,TNPW0603330KBYEA,1,LEFT_PG_DIVIDED
LEFT_R12,TNPW0603330KBYEA,2,GND
LEFT_R13,TNPW060310K0BYEA,1,LOGIC3V3
LEFT_R13,TNPW060310K0BYEA,2,LEFT_PG_CONDITIONED_OD
LEFT_C12,GRM31C5C1H104JA01L,1,LOGIC3V3
LEFT_C12,GRM31C5C1H104JA01L,2,GND
LEFT_C13,GRM31C5C1H104JA01L,1,LOGIC3V3
LEFT_C13,GRM31C5C1H104JA01L,2,GND
RIGHT_U12,TPS3700DDCR,1,RIGHT_PG_CONDITIONED_OD
RIGHT_U12,TPS3700DDCR,2,GND
RIGHT_U12,TPS3700DDCR,3,RIGHT_PG_DIVIDED
RIGHT_U12,TPS3700DDCR,4,GND
RIGHT_U12,TPS3700DDCR,5,LOGIC3V3
RIGHT_U12,TPS3700DDCR,6,NC
RIGHT_U13,74LVC1G17GV,1,NC
RIGHT_U13,74LVC1G17GV,2,RIGHT_PG_CONDITIONED_OD
RIGHT_U13,74LVC1G17GV,3,GND
RIGHT_U13,74LVC1G17GV,4,RIGHT_PG_CONDITIONED
RIGHT_U13,74LVC1G17GV,5,LOGIC3V3
RIGHT_R10,TNPW0603150KBYEA,1,LOGIC3V3
RIGHT_R10,TNPW0603150KBYEA,2,RIGHT_PG_SOURCE
RIGHT_R11,TNPW08051M00BYEA,1,RIGHT_EFUSE_PG
RIGHT_R11,TNPW08051M00BYEA,2,RIGHT_PG_DIVIDED
RIGHT_R12,TNPW0603330KBYEA,1,RIGHT_PG_DIVIDED
RIGHT_R12,TNPW0603330KBYEA,2,GND
RIGHT_R13,TNPW060310K0BYEA,1,LOGIC3V3
RIGHT_R13,TNPW060310K0BYEA,2,RIGHT_PG_CONDITIONED_OD
RIGHT_C12,GRM31C5C1H104JA01L,1,LOGIC3V3
RIGHT_C12,GRM31C5C1H104JA01L,2,GND
RIGHT_C13,GRM31C5C1H104JA01L,1,LOGIC3V3
RIGHT_C13,GRM31C5C1H104JA01L,2,GND
