reference,part,pin,net
U1,MAX6816EUS+T,1,GND
U1,MAX6816EUS+T,2,BUTTON_RAW
U1,MAX6816EUS+T,3,BUTTON_RELEASED
U1,MAX6816EUS+T,4,LOGIC3V3
U2,SN74LVC1G04DBVR,1,NC
U2,SN74LVC1G04DBVR,2,BUTTON_RELEASED
U2,SN74LVC1G04DBVR,3,GND
U2,SN74LVC1G04DBVR,4,PRESS
U2,SN74LVC1G04DBVR,5,LOGIC3V3
U3,SN74HCS11PWR,1,RESET_N
U3,SN74HCS11PWR,2,RAW_RELEASED_CONDITIONED
U3,SN74HCS11PWR,3,ENABLE_PERMISSION
U3,SN74HCS11PWR,4,SEQUENCE_ENABLE_REQUEST
U3,SN74HCS11PWR,5,RESET_N
U3,SN74HCS11PWR,6,POWER_ENABLE_COMMAND
U3,SN74HCS11PWR,7,GND
U3,SN74HCS11PWR,8,NC
U3,SN74HCS11PWR,9,GND
U3,SN74HCS11PWR,10,GND
U3,SN74HCS11PWR,11,GND
U3,SN74HCS11PWR,12,RELEASE_CONDITION
U3,SN74HCS11PWR,13,BUTTON_RELEASED
U3,SN74HCS11PWR,14,LOGIC3V3
U4,74LVC1G17GV,1,NC
U4,74LVC1G17GV,2,RELEASE_CONDITION
U4,74LVC1G17GV,3,GND
U4,74LVC1G17GV,4,RELEASE_MR
U4,74LVC1G17GV,5,LOGIC3V3
U5,TPS3808G33DBVR,1,RELEASE_QUALIFIED
U5,TPS3808G33DBVR,2,GND
U5,TPS3808G33DBVR,3,RELEASE_MR
U5,TPS3808G33DBVR,4,TIMER_CT
U5,TPS3808G33DBVR,5,LOGIC3V3
U5,TPS3808G33DBVR,6,LOGIC3V3
U6,SN74HCS74PW,1,RESET_N
U6,SN74HCS74PW,2,LOGIC3V3
U6,SN74HCS74PW,3,RELEASE_QUALIFIED
U6,SN74HCS74PW,4,LOGIC3V3
U6,SN74HCS74PW,5,ARMED
U6,SN74HCS74PW,6,NC
U6,SN74HCS74PW,7,GND
U6,SN74HCS74PW,8,NC
U6,SN74HCS74PW,9,ENABLE_PERMISSION
U6,SN74HCS74PW,10,LOGIC3V3
U6,SN74HCS74PW,11,PRESS
U6,SN74HCS74PW,12,ARMED
U6,SN74HCS74PW,13,RESET_N
U6,SN74HCS74PW,14,LOGIC3V3
R1,100k value candidate; exact part/tolerance pending,1,LOGIC3V3
R1,100k value candidate; exact part/tolerance pending,2,TIMER_CT
R2,100k value candidate; exact part/tolerance pending,1,LOGIC3V3
R2,100k value candidate; exact part/tolerance pending,2,RELEASE_QUALIFIED
C1,100nF local ceramic candidate; exact part pending,1,LOGIC3V3
C1,100nF local ceramic candidate; exact part pending,2,GND
C2,100nF local ceramic candidate; exact part pending,1,LOGIC3V3
C2,100nF local ceramic candidate; exact part pending,2,GND
C3,100nF local ceramic candidate; exact part pending,1,LOGIC3V3
C3,100nF local ceramic candidate; exact part pending,2,GND
