reference,pin,net
CTRL__U_HOST,1,
CTRL__U_HOST,2,
CTRL__U_HOST,3,
CTRL__U_HOST,4,CTRL3V3
CTRL__U_HOST,5,PACK_RETURN
CTRL__U_HOST,6,CTRL_HOST_NRST
CTRL__U_HOST,7,CTRL_MAIN_REQUEST_RAW
CTRL__U_HOST,8,CTRL_AUX_REQUEST_RAW
CTRL__U_HOST,9,PACK_UV_WARN_N
CTRL__U_HOST,10,CTRL_ARM_EDGE
CTRL__U_HOST,11,
CTRL__U_HOST,12,
CTRL__U_HOST,13,
CTRL__U_HOST,14,
CTRL__U_HOST,15,
CTRL__U_HOST,16,
CTRL__U_HOST,17,CTRL_HOST_HEARTBEAT
CTRL__U_HOST,18,CTRL_HOST_SWDIO
CTRL__U_HOST,19,CTRL_HOST_SWCLK
CTRL__U_HOST,20,
CTRL__C_HOST_HF,1,CTRL3V3
CTRL__C_HOST_HF,2,PACK_RETURN
CTRL__C_HOST_BULK,1,CTRL3V3
CTRL__C_HOST_BULK,2,PACK_RETURN
CTRL__C_HOST_NRST,1,CTRL_HOST_NRST
CTRL__C_HOST_NRST,2,PACK_RETURN
CTRL__R_HOST_NRST,1,CTRL3V3
CTRL__R_HOST_NRST,2,CTRL_HOST_NRST
CTRL__R_AUX_START_REQUEST_PD,1,LOGIC_START_ALLOW
CTRL__R_AUX_START_REQUEST_PD,2,PACK_RETURN
CTRL__R_HOST_HEARTBEAT_PD,1,CTRL_HOST_HEARTBEAT
CTRL__R_HOST_HEARTBEAT_PD,2,PACK_RETURN
CTRL__U_HOST_SUP,1,CTRL_HOST_NRST
CTRL__U_HOST_SUP,2,PACK_RETURN
CTRL__U_HOST_SUP,3,CTRL3V3
CTRL__U_HOST_SUP,4,
CTRL__U_HOST_SUP,5,CTRL_HOST_SUP_SENSE
CTRL__U_HOST_SUP,6,CTRL3V3
CTRL__R_HOST_SUP_TOP,1,CTRL3V3
CTRL__R_HOST_SUP_TOP,2,CTRL_HOST_SUP_SENSE
CTRL__R_HOST_SUP_BOTTOM,1,CTRL_HOST_SUP_SENSE
CTRL__R_HOST_SUP_BOTTOM,2,PACK_RETURN
CTRL__C_HOST_SUP,1,CTRL3V3
CTRL__C_HOST_SUP,2,PACK_RETURN
CTRL__U_WD,1,CTRL3V3
CTRL__U_WD,2,CTRL_WD_CWD
CTRL__U_WD,3,CTRL3V3
CTRL__U_WD,4,PACK_RETURN
CTRL__U_WD,5,CTRL3V3
CTRL__U_WD,6,CTRL_HOST_HEARTBEAT
CTRL__U_WD,7,CTRL_HOST_NRST
CTRL__U_WD,8,
CTRL__U_WD,EP,PACK_RETURN
