reference,part
CTRL__U_HOST,STM32G030F6P6
CTRL__C_HOST_HF,GRM31C5C1H104JA01L
CTRL__C_HOST_BULK,GRM31CR71H475KA12L
CTRL__C_HOST_NRST,GRM31C5C1H104JA01L
CTRL__R_HOST_NRST,TNPW0603100KBEEA
CTRL__R_AUX_START_REQUEST_PD,TNPW060347K5BEEA
CTRL__R_HOST_HEARTBEAT_PD,TNPW060310K0BEEA
CTRL__U_HOST_SUP,TPS3808G01DBVR
CTRL__R_HOST_SUP_TOP,TNPW060357K6BEEA
CTRL__R_HOST_SUP_BOTTOM,TNPW060310K0BEEA
CTRL__C_HOST_SUP,GRM31C5C1H104JA01L
CTRL__U_WD,TPS3431SDRBR
CTRL__C_WD,GRM31C5C1H104JA01L
CTRL__R_WD_CWD,TNPW060310K0BEEA
CTRL__U_RESET_BUFFER,74LVC1G17GV
CTRL__C_RESET_BUFFER,GRM31C5C1H104JA01L
CTRL__U_PERMIT_LATCH,SN74LVC1G74DCTR
CTRL__C_PERMIT_LATCH,GRM31C5C1H104JA01L
CTRL__U_MAIN_GATE,SN74LVC1G08DBVR
CTRL__C_MAIN_GATE,GRM31C5C1H104JA01L
CTRL__U_AUX_GATE,SN74LVC1G08DBVR
CTRL__C_AUX_GATE,GRM31C5C1H104JA01L
CTRL__R_MAIN_REQUEST_RAW_PD,TNPW060310K0BEEA
CTRL__R_AUX_REQUEST_RAW_PD,TNPW060310K0BEEA
CTRL__R_ARM_EDGE_PD,TNPW060310K0BEEA
CTRL__U_LDO,TPS70933DBVR
CTRL__C_LDO_IN,MKS2C042201K00JSSD
CTRL__C_LDO_OUT,GRM31CR71H475KA12L
CTRL__R_PACK_WARN_PU,TNPW060310K0BEEA
