reference,part,group
SYS__U1,MAX6816EUS+T,retained
SYS__U2,SN74LVC1G04DBVR,retained
SYS__U3,SN74HCS11PWR,retained
SYS__U4,74LVC1G17GV,retained
SYS__U5,TPS3808G33DBVR,retained
SYS__U6,SN74HCS74PW,retained
SYS__R1,100k value candidate; exact part/tolerance pending,retained
SYS__R2,100k value candidate; exact part/tolerance pending,retained
SYS__C1,GRM31C5C1H104JA01L,retained
SYS__C2,GRM31C5C1H104JA01L,retained
SYS__C3,GRM31C5C1H104JA01L,retained
SYS__C4,GRM31C5C1H104JA01L,retained
SYS__C5,GRM31C5C1H104JA01L,retained
SYS__C6,GRM31C5C1H104JA01L,retained
SYS__SW1,B3U-1000P,retained
SYS__U7,TPS3808G33DBVR,retained
SYS__R3,100k value candidate; exact part/tolerance pending,retained
SYS__R4,100k value candidate; exact part/tolerance pending,retained
SYS__C7,GRM31C5C1H104JA01L,retained
SYS__U8,74LVC1G17GV,retained
SYS__R6,"220k pulldown; total +/-1% budget, part pending",retained
SYS__C8,GRM31C5C1H104JA01L,retained
SYS__R7,"4.7k series; total +/-1% budget, part pending",retained
SYS__U9,TPS3808G33DBVR,retained
SYS__R8,100k CT candidate; part pending,retained
SYS__C9,GRM31C5C1H104JA01L,retained
SYS__U10,TPS3808G01DBVR,retained
SYS__U11,74LVC1G17GV,retained
SYS__R9,"10k cause pullup; total +/-1% budget, part pending",retained
SYS__C10,GRM31C5C1H104JA01L,retained
SYS__C11,GRM31C5C1H104JA01L,retained
SYS__U14,74AUP1G06GW,retained
SYS__R14,TNPW12061K00BYEA,retained
SYS__C14,GRM31C5C1H104JA01L,retained
SYS__U15,74LVC1G17GV,retained
SYS__R15,3k local button pullup; total +/-1% budget; exact part pending,retained
SYS__C15,GRM31C5C1H104JA01L,retained
SYS__LEFT_U12,TPS3700DDCR,retained
SYS__LEFT_U13,74LVC1G17GV,retained
SYS__LEFT_R10,TNPW0603150KBYEA,retained
SYS__LEFT_R11,TNPW08051M00BYEA,retained
SYS__LEFT_R12,TNPW0603330KBYEA,retained
SYS__LEFT_R13,TNPW060310K0BYEA,retained
SYS__LEFT_C12,GRM31C5C1H104JA01L,retained
SYS__LEFT_C13,GRM31C5C1H104JA01L,retained
SYS__RIGHT_U12,TPS3700DDCR,retained
SYS__RIGHT_U13,74LVC1G17GV,retained
SYS__RIGHT_R10,TNPW0603150KBYEA,retained
SYS__RIGHT_R11,TNPW08051M00BYEA,retained
SYS__RIGHT_R12,TNPW0603330KBYEA,retained
SYS__RIGHT_R13,TNPW060310K0BYEA,retained
SYS__RIGHT_C12,GRM31C5C1H104JA01L,retained
SYS__RIGHT_C13,GRM31C5C1H104JA01L,retained
SYS__LEFT_U_POWER,TPS259813LRPW,retained
SYS__LEFT_Q_REVERSE,SiSS80DN-T1-GE3 comparison only,retained
SYS__LEFT_R_GATE,,retained
SYS__LEFT_C_GATE,,retained
SYS__RIGHT_U_POWER,TPS259813LRPW,retained
SYS__RIGHT_Q_REVERSE,SiSS80DN-T1-GE3 comparison only,retained
SYS__RIGHT_R_GATE,,retained
SYS__RIGHT_C_GATE,,retained
SYS__LEFT_R_ILM,,retained
SYS__RIGHT_R_ILM,,retained
SYS__LEFT_R_OV_TOP,,retained
SYS__LEFT_R_OV_BOTTOM,,retained
SYS__RIGHT_R_OV_TOP,,retained
SYS__RIGHT_R_OV_BOTTOM,,retained
SYS__U_STOP_LDO,TPS70933DBVR,retained
SYS__C_STOP_IN,MKS2C042201K00JSSD,retained
SYS__C_STOP_OUT,GRM31CR71H475KA12L,retained
SYS__R_STOP_MIN_LOAD,TNPW060330K1BYEA,retained
SYS__LEFT_R_EN_PULLDOWN,TNPW060378K7BYEA,retained
SYS__RIGHT_R_EN_PULLDOWN,TNPW060378K7BYEA,retained
SYS__LEFT_U_WINDOW,TPS3700DDCR,retained
SYS__LEFT_R_SOURCE_UV_TOP,TNPW0603102KBYEA,retained
SYS__LEFT_R_SOURCE_UV_BOTTOM,TNPW060310K0BYEA,retained
SYS__LEFT_R_SOURCE_OV_TOP,TNPW0603130KBYEA,retained
SYS__LEFT_R_SOURCE_OV_BOTTOM,TNPW060310K0BYEA,retained
SYS__LEFT_C_WINDOW,GRM31C5C1H104JA01L,retained
SYS__RIGHT_U_WINDOW,TPS3700DDCR,retained
SYS__RIGHT_R_SOURCE_UV_TOP,TNPW0603102KBYEA,retained
SYS__RIGHT_R_SOURCE_UV_BOTTOM,TNPW060310K0BYEA,retained
SYS__RIGHT_R_SOURCE_OV_TOP,TNPW0603130KBYEA,retained
SYS__RIGHT_R_SOURCE_OV_BOTTOM,TNPW060310K0BYEA,retained
SYS__RIGHT_C_WINDOW,GRM31C5C1H104JA01L,retained
SYS__U_MONITOR_START,TPS3808G33DBVR,retained
SYS__R_MONITOR_START,TNPW0603100KBYEA,retained
SYS__C_MONITOR_START,GRM31C5C1H104JA01L,retained
SYS__U_MONITOR_RX,SN74AUP1T50DCKR,retained
SYS__R_MONITOR_RX_OFF,TNPW0603220KBYEA,retained
SYS__C_MONITOR_RX,GRM31C5C1H104JA01L,retained
SYS__R_SEQUENCE_OFF,TNPW060310K0BYEA,retained
SYS__D_STOP_REVERSE,BAS116,retained
SYS__R_STOP_INPUT_BLEED,TNPW0603100KBYEA,retained
SYS__C_STOP_IN_HF,GRM31C5C1H104JA01L,retained
SYS__U_LOGIC_PROTECT,TPS26601RHFR,retained
SYS__R_LOGIC_UV_TOP,TNPW060340K2BEEA,retained
SYS__R_LOGIC_UV_BOTTOM,TNPW060310K0BEEA,retained
SYS__R_LOGIC_OV_TOP,TNPW0603124KBEEA,retained
SYS__R_LOGIC_OV_BOTTOM,TNPW060310K0BEEA,retained
SYS__R_LOGIC_ILIM,TNPW0603118KBEEA,retained
SYS__R_LOGIC_INPUT_BLEED,TNPW0603100KBEEA,retained
SYS__C_LOGIC_PROTECT_IN_1,GRM31C5C1H104JA01L,retained
SYS__C_LOGIC_PROTECT_IN_2,GRM31C5C1H104JA01L,retained
SYS__C_LOGIC_PROTECT_OUT_1,GRM31C5C1H104JA01L,retained
SYS__C_LOGIC_PROTECT_OUT_2,GRM31C5C1H104JA01L,retained
SYS__U_LOGIC_LDO,TPS70933DRVR,retained
SYS__C_LOGIC_LDO_OUT,T520A226M010ATE080,retained
SYS__LEFT_U_REGULATOR,D42V110F5,retained
SYS__RIGHT_U_REGULATOR,D42V110F5,retained
