reference,pin,net
SYS__U1,1,PACK_RETURN
SYS__U1,2,SYS__BUTTON_RAW
SYS__U1,3,SYS__BUTTON_RELEASED
SYS__U1,4,SYS__LOGIC3V3
SYS__U2,1,
SYS__U2,2,SYS__BUTTON_RELEASED
SYS__U2,3,PACK_RETURN
SYS__U2,4,SYS__PRESS
SYS__U2,5,SYS__LOGIC3V3
SYS__U3,1,SYS__RESET_N
SYS__U3,2,SYS__RAW_RELEASED_CONDITIONED
SYS__U3,3,SYS__ENABLE_PERMISSION
SYS__U3,4,SYS__SEQUENCE_ENABLE_REQUEST
SYS__U3,5,SYS__RESET_N
SYS__U3,6,SYS__POWER_ENABLE_COMMAND
SYS__U3,7,PACK_RETURN
SYS__U3,8,
SYS__U3,9,PACK_RETURN
SYS__U3,10,PACK_RETURN
SYS__U3,11,PACK_RETURN
SYS__U3,12,SYS__RELEASE_CONDITION
SYS__U3,13,SYS__BUTTON_RELEASED
SYS__U3,14,SYS__LOGIC3V3
SYS__U4,1,
SYS__U4,2,SYS__RELEASE_CONDITION
SYS__U4,3,PACK_RETURN
SYS__U4,4,SYS__RELEASE_MR
SYS__U4,5,SYS__LOGIC3V3
SYS__U5,1,SYS__RELEASE_QUALIFIED
SYS__U5,2,PACK_RETURN
SYS__U5,3,SYS__RELEASE_MR
SYS__U5,4,SYS__TIMER_CT
SYS__U5,5,SYS__LOGIC3V3
SYS__U5,6,SYS__LOGIC3V3
SYS__U6,1,SYS__RESET_N
SYS__U6,2,SYS__LOGIC3V3
SYS__U6,3,SYS__RELEASE_QUALIFIED
SYS__U6,4,SYS__LOGIC3V3
SYS__U6,5,SYS__ARMED
SYS__U6,6,
SYS__U6,7,PACK_RETURN
SYS__U6,8,
SYS__U6,9,SYS__ENABLE_PERMISSION
SYS__U6,10,SYS__LOGIC3V3
SYS__U6,11,SYS__PRESS
SYS__U6,12,SYS__ARMED
SYS__U6,13,SYS__RESET_N
SYS__U6,14,SYS__LOGIC3V3
SYS__R1,1,SYS__LOGIC3V3
SYS__R1,2,SYS__TIMER_CT
SYS__R2,1,SYS__LOGIC3V3
SYS__R2,2,SYS__RELEASE_QUALIFIED
SYS__C1,1,SYS__LOGIC3V3
SYS__C1,2,PACK_RETURN
SYS__C2,1,SYS__LOGIC3V3
SYS__C2,2,PACK_RETURN
SYS__C3,1,SYS__LOGIC3V3
SYS__C3,2,PACK_RETURN
SYS__C4,1,SYS__LOGIC3V3
SYS__C4,2,PACK_RETURN
SYS__C5,1,SYS__LOGIC3V3
SYS__C5,2,PACK_RETURN
SYS__C6,1,SYS__LOGIC3V3
SYS__C6,2,PACK_RETURN
SYS__SW1,1,SYS__BUTTON_RAW
SYS__SW1,2,PACK_RETURN
SYS__U7,1,SYS__RESET_N
SYS__U7,2,PACK_RETURN
SYS__U7,3,SYS__RAIL_HEALTH_N
SYS__U7,4,SYS__SUPERVISOR_CT
SYS__U7,5,SYS__LOGIC3V3
SYS__U7,6,SYS__LOGIC3V3
SYS__R3,1,SYS__LOGIC3V3
SYS__R3,2,SYS__SUPERVISOR_CT
SYS__R4,1,SYS__LOGIC3V3
SYS__R4,2,SYS__RESET_N
SYS__C7,1,SYS__LOGIC3V3
SYS__C7,2,PACK_RETURN
SYS__U8,1,
SYS__U8,2,SYS__POWER_ENABLE_COMMAND
SYS__U8,3,PACK_RETURN
SYS__U8,4,SYS__ENABLE_BUFFER_OUT
SYS__U8,5,SYS__LOGIC3V3
SYS__R6,1,SYS__POWER_ENABLE_COMMAND
SYS__R6,2,PACK_RETURN
SYS__C8,1,SYS__LOGIC3V3
SYS__C8,2,PACK_RETURN
SYS__R7,1,SYS__ENABLE_BUFFER_OUT
SYS__R7,2,SYS__MAIN_EFUSE_EN
SYS__U9,1,SYS__RAIL_HEALTH_N
SYS__U9,2,PACK_RETURN
SYS__U9,3,SYS__STOP_AUX3V3
SYS__U9,4,SYS__CLAMP_CT
SYS__U9,5,SYS__LOGIC3V3
SYS__U9,6,SYS__STOP_AUX3V3
SYS__R8,1,SYS__STOP_AUX3V3
SYS__R8,2,SYS__CLAMP_CT
SYS__C9,1,SYS__STOP_AUX3V3
SYS__C9,2,PACK_RETURN
SYS__U10,1,SYS__MAIN_EFUSE_EN
SYS__U10,2,PACK_RETURN
SYS__U10,3,SYS__CLAMP_MR_STOP_AUX
SYS__U10,4,
SYS__U10,5,SYS__STOP_AUX3V3
SYS__U10,6,SYS__STOP_AUX3V3
SYS__U11,1,
SYS__U11,2,SYS__RAIL_HEALTH_N
SYS__U11,3,PACK_RETURN
SYS__U11,4,SYS__CLAMP_MR_STOP_AUX
SYS__U11,5,SYS__STOP_AUX3V3
SYS__R9,1,SYS__LOGIC3V3
SYS__R9,2,SYS__RAIL_HEALTH_N
SYS__C10,1,SYS__STOP_AUX3V3
SYS__C10,2,PACK_RETURN
SYS__C11,1,SYS__STOP_AUX3V3
SYS__C11,2,PACK_RETURN
SYS__U14,1,
SYS__U14,2,SYS__SEQUENCE_CLEAR_REQUEST
SYS__U14,3,PACK_RETURN
SYS__U14,4,SYS__RESET_N
SYS__U14,5,SYS__LOGIC3V3
SYS__R14,1,SYS__LOGIC3V3
SYS__R14,2,SYS__SEQUENCE_CLEAR_REQUEST
SYS__C14,1,SYS__LOGIC3V3
SYS__C14,2,PACK_RETURN
SYS__U15,1,
SYS__U15,2,SYS__BUTTON_RAW
SYS__U15,3,PACK_RETURN
SYS__U15,4,SYS__RAW_RELEASED_CONDITIONED
SYS__U15,5,SYS__LOGIC3V3
SYS__R15,1,SYS__LOGIC3V3
SYS__R15,2,SYS__BUTTON_RAW
SYS__C15,1,SYS__LOGIC3V3
SYS__C15,2,PACK_RETURN
SYS__LEFT_U12,1,SYS__LEFT_PG_CONDITIONED_OD
SYS__LEFT_U12,2,PACK_RETURN
SYS__LEFT_U12,3,SYS__LEFT_PG_DIVIDED
SYS__LEFT_U12,4,PACK_RETURN
SYS__LEFT_U12,5,SYS__LOGIC3V3
SYS__LEFT_U12,6,
SYS__LEFT_U13,1,
SYS__LEFT_U13,2,SYS__LEFT_PG_CONDITIONED_OD
SYS__LEFT_U13,3,PACK_RETURN
SYS__LEFT_U13,4,SYS__LEFT_PG_CONDITIONED
SYS__LEFT_U13,5,SYS__LOGIC3V3
SYS__LEFT_R10,1,SYS__LOGIC3V3
SYS__LEFT_R10,2,SYS__LEFT_PG_SOURCE
SYS__LEFT_R11,1,SYS__LEFT_EFUSE_PG
SYS__LEFT_R11,2,SYS__LEFT_PG_DIVIDED
SYS__LEFT_R12,1,SYS__LEFT_PG_DIVIDED
SYS__LEFT_R12,2,PACK_RETURN
SYS__LEFT_R13,1,SYS__LOGIC3V3
SYS__LEFT_R13,2,SYS__LEFT_PG_CONDITIONED_OD
SYS__LEFT_C12,1,SYS__LOGIC3V3
SYS__LEFT_C12,2,PACK_RETURN
SYS__LEFT_C13,1,SYS__LOGIC3V3
SYS__LEFT_C13,2,PACK_RETURN
SYS__RIGHT_U12,1,SYS__RIGHT_PG_CONDITIONED_OD
SYS__RIGHT_U12,2,PACK_RETURN
SYS__RIGHT_U12,3,SYS__RIGHT_PG_DIVIDED
SYS__RIGHT_U12,4,PACK_RETURN
SYS__RIGHT_U12,5,SYS__LOGIC3V3
SYS__RIGHT_U12,6,
SYS__RIGHT_U13,1,
SYS__RIGHT_U13,2,SYS__RIGHT_PG_CONDITIONED_OD
SYS__RIGHT_U13,3,PACK_RETURN
SYS__RIGHT_U13,4,SYS__RIGHT_PG_CONDITIONED
SYS__RIGHT_U13,5,SYS__LOGIC3V3
SYS__RIGHT_R10,1,SYS__LOGIC3V3
SYS__RIGHT_R10,2,SYS__RIGHT_PG_SOURCE
SYS__RIGHT_R11,1,SYS__RIGHT_EFUSE_PG
SYS__RIGHT_R11,2,SYS__RIGHT_PG_DIVIDED
SYS__RIGHT_R12,1,SYS__RIGHT_PG_DIVIDED
SYS__RIGHT_R12,2,PACK_RETURN
SYS__RIGHT_R13,1,SYS__LOGIC3V3
SYS__RIGHT_R13,2,SYS__RIGHT_PG_CONDITIONED_OD
SYS__RIGHT_C12,1,SYS__LOGIC3V3
SYS__RIGHT_C12,2,PACK_RETURN
SYS__RIGHT_C13,1,SYS__LOGIC3V3
SYS__RIGHT_C13,2,PACK_RETURN
SYS__LEFT_U_POWER,1,SYS__LEFT_EN_LOCAL
SYS__LEFT_U_POWER,2,SYS__LEFT_OVLO_SENSE
SYS__LEFT_U_POWER,3,SYS__LEFT_PG_SOURCE
SYS__LEFT_U_POWER,4,SYS__LEFT_FLT_N
SYS__LEFT_U_POWER,5,SYS__LEFT_REGULATOR_OUT
SYS__LEFT_U_POWER,6,SYS__LEFT_INTERNAL_OUT
SYS__LEFT_U_POWER,7,SYS__LEFT_DVDT
SYS__LEFT_U_POWER,8,PACK_RETURN
SYS__LEFT_U_POWER,9,SYS__LEFT_ILM
SYS__LEFT_U_POWER,10,SYS__LEFT_ITIMER
SYS__LEFT_Q_REVERSE,1,SYS__LEFT_INTERNAL_OUT
SYS__LEFT_Q_REVERSE,2,SYS__LEFT_INTERNAL_OUT
SYS__LEFT_Q_REVERSE,3,SYS__LEFT_INTERNAL_OUT
SYS__LEFT_Q_REVERSE,4,SYS__LEFT_REVERSE_GATE
SYS__LEFT_Q_REVERSE,5,SYS__LEFT_SERVO_BUS
SYS__LEFT_Q_REVERSE,6,SYS__LEFT_SERVO_BUS
SYS__LEFT_Q_REVERSE,7,SYS__LEFT_SERVO_BUS
SYS__LEFT_Q_REVERSE,8,SYS__LEFT_SERVO_BUS
SYS__LEFT_R_GATE,1,SYS__LEFT_DVDT
SYS__LEFT_R_GATE,2,SYS__LEFT_REVERSE_GATE
SYS__LEFT_C_GATE,1,SYS__LEFT_REVERSE_GATE
SYS__LEFT_C_GATE,2,PACK_RETURN
SYS__RIGHT_U_POWER,1,SYS__RIGHT_EN_LOCAL
SYS__RIGHT_U_POWER,2,SYS__RIGHT_OVLO_SENSE
SYS__RIGHT_U_POWER,3,SYS__RIGHT_PG_SOURCE
SYS__RIGHT_U_POWER,4,SYS__RIGHT_FLT_N
SYS__RIGHT_U_POWER,5,SYS__RIGHT_REGULATOR_OUT
SYS__RIGHT_U_POWER,6,SYS__RIGHT_INTERNAL_OUT
SYS__RIGHT_U_POWER,7,SYS__RIGHT_DVDT
SYS__RIGHT_U_POWER,8,PACK_RETURN
SYS__RIGHT_U_POWER,9,SYS__RIGHT_ILM
SYS__RIGHT_U_POWER,10,SYS__RIGHT_ITIMER
SYS__RIGHT_Q_REVERSE,1,SYS__RIGHT_INTERNAL_OUT
SYS__RIGHT_Q_REVERSE,2,SYS__RIGHT_INTERNAL_OUT
SYS__RIGHT_Q_REVERSE,3,SYS__RIGHT_INTERNAL_OUT
SYS__RIGHT_Q_REVERSE,4,SYS__RIGHT_REVERSE_GATE
SYS__RIGHT_Q_REVERSE,5,SYS__RIGHT_SERVO_BUS
SYS__RIGHT_Q_REVERSE,6,SYS__RIGHT_SERVO_BUS
SYS__RIGHT_Q_REVERSE,7,SYS__RIGHT_SERVO_BUS
SYS__RIGHT_Q_REVERSE,8,SYS__RIGHT_SERVO_BUS
SYS__RIGHT_R_GATE,1,SYS__RIGHT_DVDT
SYS__RIGHT_R_GATE,2,SYS__RIGHT_REVERSE_GATE
SYS__RIGHT_C_GATE,1,SYS__RIGHT_REVERSE_GATE
SYS__RIGHT_C_GATE,2,PACK_RETURN
SYS__LEFT_R_ILM,1,SYS__LEFT_ILM
SYS__LEFT_R_ILM,2,PACK_RETURN
SYS__RIGHT_R_ILM,1,SYS__RIGHT_ILM
SYS__RIGHT_R_ILM,2,PACK_RETURN
SYS__LEFT_R_OV_TOP,1,SYS__LEFT_REGULATOR_OUT
SYS__LEFT_R_OV_TOP,2,SYS__LEFT_OVLO_SENSE
SYS__LEFT_R_OV_BOTTOM,1,SYS__LEFT_OVLO_SENSE
SYS__LEFT_R_OV_BOTTOM,2,PACK_RETURN
SYS__RIGHT_R_OV_TOP,1,SYS__RIGHT_REGULATOR_OUT
SYS__RIGHT_R_OV_TOP,2,SYS__RIGHT_OVLO_SENSE
SYS__RIGHT_R_OV_BOTTOM,1,SYS__RIGHT_OVLO_SENSE
SYS__RIGHT_R_OV_BOTTOM,2,PACK_RETURN
SYS__U_STOP_LDO,1,SYS__STOP_LDO_INPUT
SYS__U_STOP_LDO,2,PACK_RETURN
SYS__U_STOP_LDO,3,
SYS__U_STOP_LDO,4,
SYS__U_STOP_LDO,5,SYS__STOP_AUX3V3
SYS__C_STOP_IN,1,SYS__STOP_LDO_INPUT
SYS__C_STOP_IN,2,PACK_RETURN
SYS__C_STOP_OUT,1,SYS__STOP_AUX3V3
SYS__C_STOP_OUT,2,PACK_RETURN
SYS__R_STOP_MIN_LOAD,1,SYS__STOP_AUX3V3
SYS__R_STOP_MIN_LOAD,2,PACK_RETURN
SYS__LEFT_R_EN_PULLDOWN,1,SYS__LEFT_EN_LOCAL
SYS__LEFT_R_EN_PULLDOWN,2,PACK_RETURN
SYS__RIGHT_R_EN_PULLDOWN,1,SYS__RIGHT_EN_LOCAL
SYS__RIGHT_R_EN_PULLDOWN,2,PACK_RETURN
SYS__LEFT_U_WINDOW,1,SYS__RAIL_HEALTH_N
SYS__LEFT_U_WINDOW,2,PACK_RETURN
SYS__LEFT_U_WINDOW,3,SYS__LEFT_SOURCE_UV_SENSE
