ref,manufacturer,mpn,package,value_ohm,status
LEFT__Q_STOP,onsemi,BSS138,SOT23,,"candidate, not released"
LEFT__Q_RELEASE,Nexperia,BC847B,SOT23,,"candidate, not released"
LEFT__R_GATE_UP,,,0603,100000.0,"candidate, not released"
LEFT__R_GATE_DOWN,,,0603,1000000.0,"candidate, not released"
LEFT__R_BASE,,,0603,4700.0,"candidate, not released"
LEFT__R_BASE_DOWN,,,0603,4700.0,"candidate, not released"
RIGHT__Q_STOP,onsemi,BSS138,SOT23,,"candidate, not released"
RIGHT__Q_RELEASE,Nexperia,BC847B,SOT23,,"candidate, not released"
RIGHT__R_GATE_UP,,,0603,100000.0,"candidate, not released"
RIGHT__R_GATE_DOWN,,,0603,1000000.0,"candidate, not released"
RIGHT__R_BASE,,,0603,4700.0,"candidate, not released"
RIGHT__R_BASE_DOWN,,,0603,4700.0,"candidate, not released"
