ref,pin,net
LEFT__Q_STOP,1,LEFT__STOP_GATE
LEFT__Q_STOP,2,PACK_RETURN
LEFT__Q_STOP,3,LEFT__PTH_INHIBIT
LEFT__Q_RELEASE,1,LEFT__RELEASE_BASE
LEFT__Q_RELEASE,2,PACK_RETURN
LEFT__Q_RELEASE,3,LEFT__STOP_GATE
LEFT__R_GATE_UP,1,MODULE_INPUT_PROTECTED
LEFT__R_GATE_UP,2,LEFT__STOP_GATE
LEFT__R_GATE_DOWN,1,LEFT__STOP_GATE
LEFT__R_GATE_DOWN,2,PACK_RETURN
LEFT__R_BASE,1,SYS__LEFT_REGULATOR_ALLOW
LEFT__R_BASE,2,LEFT__RELEASE_BASE
LEFT__R_BASE_DOWN,1,LEFT__RELEASE_BASE
LEFT__R_BASE_DOWN,2,PACK_RETURN
LEFT__PTH_MODULE,11,LEFT__PTH_INHIBIT
RIGHT__Q_STOP,1,RIGHT__STOP_GATE
RIGHT__Q_STOP,2,PACK_RETURN
RIGHT__Q_STOP,3,RIGHT__PTH_INHIBIT
RIGHT__Q_RELEASE,1,RIGHT__RELEASE_BASE
RIGHT__Q_RELEASE,2,PACK_RETURN
RIGHT__Q_RELEASE,3,RIGHT__STOP_GATE
RIGHT__R_GATE_UP,1,MODULE_INPUT_PROTECTED
RIGHT__R_GATE_UP,2,RIGHT__STOP_GATE
RIGHT__R_GATE_DOWN,1,RIGHT__STOP_GATE
RIGHT__R_GATE_DOWN,2,PACK_RETURN
RIGHT__R_BASE,1,SYS__RIGHT_REGULATOR_ALLOW
RIGHT__R_BASE,2,RIGHT__RELEASE_BASE
RIGHT__R_BASE_DOWN,1,RIGHT__RELEASE_BASE
RIGHT__R_BASE_DOWN,2,PACK_RETURN
RIGHT__PTH_MODULE,11,RIGHT__PTH_INHIBIT
