reference,part,status
U1,MAX6816EUS+T,candidate_not_released
U2,SN74LVC1G04DBVR,candidate_not_released
U3,SN74HCS11PWR,candidate_not_released
U4,74LVC1G17GV,candidate_not_released
U5,TPS3808G33DBVR,candidate_not_released
U6,SN74HCS74PW,candidate_not_released
R1,100k value candidate; exact part/tolerance pending,candidate_not_released
R2,100k value candidate; exact part/tolerance pending,candidate_not_released
C1,GRM31C5C1H104JA01L,candidate_not_released
C2,GRM31C5C1H104JA01L,candidate_not_released
C3,GRM31C5C1H104JA01L,candidate_not_released
C4,GRM31C5C1H104JA01L,candidate_not_released
C5,GRM31C5C1H104JA01L,candidate_not_released
C6,GRM31C5C1H104JA01L,candidate_not_released
SW1,B3U-1000P,candidate_not_released
U7,TPS3808G33DBVR,candidate_not_released
R3,100k value candidate; exact part/tolerance pending,candidate_not_released
R4,100k value candidate; exact part/tolerance pending,candidate_not_released
C7,GRM31C5C1H104JA01L,candidate_not_released
U8,74LVC1G17GV,candidate_not_released
R6,"220k pulldown; total +/-1% budget, part pending",candidate_not_released
C8,GRM31C5C1H104JA01L,candidate_not_released
R7,"4.7k series; total +/-1% budget, part pending",candidate_not_released
U9,TPS3808G33DBVR,candidate_not_released
R8,100k CT candidate; part pending,candidate_not_released
C9,GRM31C5C1H104JA01L,candidate_not_released
U10,TPS3808G01DBVR,candidate_not_released
U11,74LVC1G17GV,candidate_not_released
R9,"10k cause pullup; total +/-1% budget, part pending",candidate_not_released
C10,GRM31C5C1H104JA01L,candidate_not_released
C11,GRM31C5C1H104JA01L,candidate_not_released
U14,74AUP1G06GW,candidate_not_released
R14,TNPW12061K00BYEA,candidate_not_released
C14,GRM31C5C1H104JA01L,candidate_not_released
U15,74LVC1G17GV,candidate_not_released
R15,3k local button pullup; total +/-1% budget; exact part pending,candidate_not_released
C15,GRM31C5C1H104JA01L,candidate_not_released
LEFT_U12,TPS3700DDCR,candidate_not_released
LEFT_U13,74LVC1G17GV,candidate_not_released
LEFT_R10,TNPW0603150KBYEA,candidate_not_released
LEFT_R11,TNPW08051M00BYEA,candidate_not_released
LEFT_R12,TNPW0603330KBYEA,candidate_not_released
LEFT_R13,TNPW060310K0BYEA,candidate_not_released
LEFT_C12,GRM31C5C1H104JA01L,candidate_not_released
LEFT_C13,GRM31C5C1H104JA01L,candidate_not_released
RIGHT_U12,TPS3700DDCR,candidate_not_released
RIGHT_U13,74LVC1G17GV,candidate_not_released
RIGHT_R10,TNPW0603150KBYEA,candidate_not_released
RIGHT_R11,TNPW08051M00BYEA,candidate_not_released
RIGHT_R12,TNPW0603330KBYEA,candidate_not_released
RIGHT_R13,TNPW060310K0BYEA,candidate_not_released
RIGHT_C12,GRM31C5C1H104JA01L,candidate_not_released
RIGHT_C13,GRM31C5C1H104JA01L,candidate_not_released
