reference,part_candidate,value_F,value_ohm
U1,MAX6816EUS+T,,
U2,SN74LVC1G04DBVR,,
U3,SN74HCS11PWR,,
U4,74LVC1G17GV,,
U5,TPS3808G33DBVR,,
U6,SN74HCS74PW,,
R1,100k value candidate; exact part/tolerance pending,,
R2,100k value candidate; exact part/tolerance pending,,
C1,GRM31C5C1H104JA01L,1e-07,
C2,GRM31C5C1H104JA01L,1e-07,
C3,GRM31C5C1H104JA01L,1e-07,
C4,GRM31C5C1H104JA01L,1e-07,
C5,GRM31C5C1H104JA01L,1e-07,
C6,GRM31C5C1H104JA01L,1e-07,
SW1,B3U-1000P,,
U7,TPS3808G33DBVR,,
R3,100k value candidate; exact part/tolerance pending,,
R4,100k value candidate; exact part/tolerance pending,,
C7,GRM31C5C1H104JA01L,1e-07,
U8,74LVC1G17GV,,
R6,"220k pulldown; total +/-1% budget, part pending",,
C8,GRM31C5C1H104JA01L,1e-07,
R7,"4.7k series; total +/-1% budget, part pending",,
U9,TPS3808G33DBVR,,
R8,100k CT candidate; part pending,,
C9,GRM31C5C1H104JA01L,1e-07,
U10,TPS3808G01DBVR,,
U11,74LVC1G17GV,,
R9,"10k cause pullup; total +/-1% budget, part pending",,
C10,GRM31C5C1H104JA01L,1e-07,
C11,GRM31C5C1H104JA01L,1e-07,
U14,74AUP1G06GW,,
R14,"100k input pullup; total +/-1% comparison, exact part pending",,
C14,GRM31C5C1H104JA01L,1e-07,
U15,74LVC1G17GV,,
R15,3k local button pullup; total +/-1% budget; exact part pending,,
C15,GRM31C5C1H104JA01L,1e-07,
LEFT_U12,TPS3700DDCR,,
LEFT_U13,74LVC1G17GV,,
LEFT_R10,TNPW0603150KBYEA,,
LEFT_R11,TNPW08051M00BYEA,,
LEFT_R12,TNPW0603330KBYEA,,
LEFT_R13,TNPW060310K0BYEA,,
LEFT_C12,GRM31C5C1H104JA01L,,
LEFT_C13,GRM31C5C1H104JA01L,,
RIGHT_U12,TPS3700DDCR,,
RIGHT_U13,74LVC1G17GV,,
RIGHT_R10,TNPW0603150KBYEA,,
RIGHT_R11,TNPW08051M00BYEA,,
RIGHT_R12,TNPW0603330KBYEA,,
RIGHT_R13,TNPW060310K0BYEA,,
RIGHT_C12,GRM31C5C1H104JA01L,,
RIGHT_C13,GRM31C5C1H104JA01L,,
LEFT_U_POWER,TPS259813LRPW,,
LEFT_Q_REVERSE,SiSS80DN-T1-GE3 comparison only,,
LEFT_R_GATE,,,
LEFT_C_GATE,,,
RIGHT_U_POWER,TPS259813LRPW,,
RIGHT_Q_REVERSE,SiSS80DN-T1-GE3 comparison only,,
RIGHT_R_GATE,,,
RIGHT_C_GATE,,,
LEFT_R_ILM,,,1100
RIGHT_R_ILM,,,1100
LEFT_R_OV_TOP,,,35700
LEFT_R_OV_BOTTOM,,,10000
RIGHT_R_OV_TOP,,,35700
RIGHT_R_OV_BOTTOM,,,10000
U_STOP_LDO,TPS70933DBVR,,
C_STOP_IN,,2.2e-06,
C_STOP_OUT,,4.7e-06,
R_STOP_MIN_LOAD,TNPW060330K1BYEA,,30100.0
LEFT_R_EN_PULLDOWN,TNPW060378K7BYEA,,78700
RIGHT_R_EN_PULLDOWN,TNPW060378K7BYEA,,78700
LEFT_U_WINDOW,TPS3700DDCR,,
LEFT_R_SOURCE_UV_TOP,TNPW0603102KBYEA,,102000
LEFT_R_SOURCE_UV_BOTTOM,TNPW060310K0BYEA,,10000
LEFT_R_SOURCE_OV_TOP,TNPW0603130KBYEA,,130000.0
LEFT_R_SOURCE_OV_BOTTOM,TNPW060310K0BYEA,,10000
LEFT_R_WINDOW_PULLUP,TNPW060310K0BYEA,,10000
LEFT_C_WINDOW,GRM31C5C1H104JA01L,1e-07,
RIGHT_U_WINDOW,TPS3700DDCR,,
RIGHT_R_SOURCE_UV_TOP,TNPW0603102KBYEA,,102000
RIGHT_R_SOURCE_UV_BOTTOM,TNPW060310K0BYEA,,10000
RIGHT_R_SOURCE_OV_TOP,TNPW0603130KBYEA,,130000.0
RIGHT_R_SOURCE_OV_BOTTOM,TNPW060310K0BYEA,,10000
RIGHT_R_WINDOW_PULLUP,TNPW060310K0BYEA,,10000
RIGHT_C_WINDOW,GRM31C5C1H104JA01L,1e-07,
U_MONITOR_START,TPS3808G33DBVR,,
R_MONITOR_START,TNPW0603100KBYEA,,100000
C_MONITOR_START,GRM31C5C1H104JA01L,1e-07,
U_MONITOR_RX,SN74AUP1T50DCKR,,
R_MONITOR_RX_OFF,TNPW0603220KBYEA,,220000
C_MONITOR_RX,GRM31C5C1H104JA01L,1e-07,
R_SEQUENCE_OFF,TNPW060310K0BYEA,,10000
