joint,servo_id,connector,pin,net,wire_status,distribution_end
left_hip_yaw,1,J_left_hip_yaw,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_hip_yaw,1,J_left_hip_yaw,2,LEFT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_hip_yaw,1,J_left_hip_yaw,3,LEFT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_hip_roll,2,J_left_hip_roll,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_hip_roll,2,J_left_hip_roll,2,LEFT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_hip_roll,2,J_left_hip_roll,3,LEFT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_hip_pitch,3,J_left_hip_pitch,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_hip_pitch,3,J_left_hip_pitch,2,LEFT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_hip_pitch,3,J_left_hip_pitch,3,LEFT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_knee,4,J_left_knee,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_knee,4,J_left_knee,2,LEFT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_knee,4,J_left_knee,3,LEFT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_ankle_pitch,5,J_left_ankle_pitch,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_ankle_pitch,5,J_left_ankle_pitch,2,LEFT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_ankle_pitch,5,J_left_ankle_pitch,3,LEFT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_ankle_roll,6,J_left_ankle_roll,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_ankle_roll,6,J_left_ankle_roll,2,LEFT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
left_ankle_roll,6,J_left_ankle_roll,3,LEFT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_hip_yaw,7,J_right_hip_yaw,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_hip_yaw,7,J_right_hip_yaw,2,RIGHT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_hip_yaw,7,J_right_hip_yaw,3,RIGHT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_hip_roll,8,J_right_hip_roll,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_hip_roll,8,J_right_hip_roll,2,RIGHT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_hip_roll,8,J_right_hip_roll,3,RIGHT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_hip_pitch,9,J_right_hip_pitch,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_hip_pitch,9,J_right_hip_pitch,2,RIGHT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_hip_pitch,9,J_right_hip_pitch,3,RIGHT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_knee,10,J_right_knee,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_knee,10,J_right_knee,2,RIGHT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_knee,10,J_right_knee,3,RIGHT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_ankle_pitch,11,J_right_ankle_pitch,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_ankle_pitch,11,J_right_ankle_pitch,2,RIGHT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_ankle_pitch,11,J_right_ankle_pitch,3,RIGHT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_ankle_roll,12,J_right_ankle_roll,1,POWER_RETURN_STAR,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_ankle_roll,12,J_right_ankle_roll,2,RIGHT_SERVO_5V,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
right_ankle_roll,12,J_right_ankle_roll,3,RIGHT_DATA,unselected_for_dynamic_flex,soldered_with_strain_relief_candidate
