reference,part,source_assembly,source_reference,selection_status
BAT__U_CELL_PROTECT,BQ7694202PFBR,schematics/power/battery_protection_integration_candidate_v1/assembly.json,U_CELL_PROTECT,candidate_not_procurement_qualified
BAT__Q_CHG,CSD18540Q5BT,schematics/power/battery_protection_integration_candidate_v1/assembly.json,Q_CHG,candidate_not_procurement_qualified
BAT__Q_DSG,CSD18540Q5BT,schematics/power/battery_protection_integration_candidate_v1/assembly.json,Q_DSG,candidate_not_procurement_qualified
BAT__R_GATE_CHG,TNPW06031K00BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_GATE_CHG,candidate_not_procurement_qualified
BAT__R_GS_CHG,TNPW08051M00BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_GS_CHG,candidate_not_procurement_qualified
BAT__D_GS_CHG,BZT52H-C16,schematics/power/battery_protection_integration_candidate_v1/assembly.json,D_GS_CHG,ordering_suffix_pending
BAT__R_GATE_DSG,TNPW06031K00BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_GATE_DSG,candidate_not_procurement_qualified
BAT__R_GS_DSG,TNPW08051M00BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_GS_DSG,candidate_not_procurement_qualified
BAT__D_GS_DSG,BZT52H-C16,schematics/power/battery_protection_integration_candidate_v1/assembly.json,D_GS_DSG,ordering_suffix_pending
BAT__R_CELL_0,TNPW060322R1BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_CELL_0,candidate_not_procurement_qualified
BAT__R_CELL_1,TNPW060322R1BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_CELL_1,candidate_not_procurement_qualified
BAT__R_CELL_2,TNPW060322R1BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_CELL_2,candidate_not_procurement_qualified
BAT__R_CELL_3,TNPW060322R1BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_CELL_3,candidate_not_procurement_qualified
BAT__C_F0_0,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F0_0,candidate_not_procurement_qualified
BAT__C_F0_1,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F0_1,candidate_not_procurement_qualified
BAT__C_F0_2,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F0_2,candidate_not_procurement_qualified
BAT__C_F0_3,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F0_3,candidate_not_procurement_qualified
