reference,pin,net
BAT__U_CELL_PROTECT,16,CELL0_FILTERED
BAT__U_CELL_PROTECT,15,CELL1_FILTERED
BAT__U_CELL_PROTECT,14,CELL2_FILTERED
BAT__U_CELL_PROTECT,13,CELL2_FILTERED
BAT__U_CELL_PROTECT,12,CELL2_FILTERED
BAT__U_CELL_PROTECT,10,CELL2_FILTERED
BAT__U_CELL_PROTECT,8,CELL2_FILTERED
BAT__U_CELL_PROTECT,6,CELL2_FILTERED
BAT__U_CELL_PROTECT,4,CELL2_FILTERED
BAT__U_CELL_PROTECT,2,CELL2_FILTERED
BAT__U_CELL_PROTECT,48,CELL3_FILTERED
BAT__U_CELL_PROTECT,17,CELL_B_MINUS
BAT__U_CELL_PROTECT,43,BQ76942_DSG_43
BAT__U_CELL_PROTECT,45,BQ76942_CHG_45
BAT__U_CELL_PROTECT,41,BQ_LD
BAT__U_CELL_PROTECT,42,BQ_PACK
BAT__U_CELL_PROTECT,47,BQ_BAT_HOLD
BAT__U_CELL_PROTECT,24,BQ_REG18
BAT__U_CELL_PROTECT,46,BQ_CP1
BAT__U_CELL_PROTECT,18,BQ_SRP
BAT__U_CELL_PROTECT,20,BQ_SRN
BAT__U_CELL_PROTECT,21,BQ_TS_CELL
BAT__U_CELL_PROTECT,23,BQ_TS_FET
BAT__U_CELL_PROTECT,30,BQ_BOTHOFF_N
BAT__U_CELL_PROTECT,29,CELL_B_MINUS
BAT__U_CELL_PROTECT,33,CELL_B_MINUS
BAT__U_CELL_PROTECT,25,BQ_ALERT_N
BAT__U_CELL_PROTECT,26,BQ_SCL
BAT__U_CELL_PROTECT,27,BQ_SDA
BAT__U_CELL_PROTECT,1,
BAT__U_CELL_PROTECT,3,
BAT__U_CELL_PROTECT,5,
BAT__U_CELL_PROTECT,7,
BAT__U_CELL_PROTECT,9,
BAT__U_CELL_PROTECT,11,
BAT__U_CELL_PROTECT,19,
BAT__U_CELL_PROTECT,44,
BAT__U_CELL_PROTECT,28,
BAT__U_CELL_PROTECT,31,
BAT__U_CELL_PROTECT,32,
BAT__U_CELL_PROTECT,34,
BAT__U_CELL_PROTECT,38,
BAT__U_CELL_PROTECT,35,BQ_CTRL3V3
BAT__U_CELL_PROTECT,36,BQ_REGIN
BAT__U_CELL_PROTECT,37,BQ_BREG
BAT__Q_CHG,1,CELL_POS_FUSED
BAT__Q_CHG,2,CELL_POS_FUSED
BAT__Q_CHG,3,CELL_POS_FUSED
BAT__Q_CHG,4,CHG_GATE
BAT__Q_CHG,5,PACK_FET_MID
BAT__Q_CHG,6,PACK_FET_MID
BAT__Q_CHG,7,PACK_FET_MID
BAT__Q_CHG,8,PACK_FET_MID
BAT__Q_CHG,exposed_drain_pad,PACK_FET_MID
BAT__Q_DSG,1,PACK_POS_PROTECTED
BAT__Q_DSG,2,PACK_POS_PROTECTED
BAT__Q_DSG,3,PACK_POS_PROTECTED
BAT__Q_DSG,4,DSG_GATE
BAT__Q_DSG,5,PACK_FET_MID
BAT__Q_DSG,6,PACK_FET_MID
BAT__Q_DSG,7,PACK_FET_MID
BAT__Q_DSG,8,PACK_FET_MID
BAT__Q_DSG,exposed_drain_pad,PACK_FET_MID
BAT__R_GATE_CHG,1,BQ76942_CHG_45
BAT__R_GATE_CHG,2,CHG_GATE
BAT__R_GS_CHG,1,CHG_GATE
BAT__R_GS_CHG,2,CELL_POS_FUSED
BAT__D_GS_CHG,1,CHG_GATE
BAT__D_GS_CHG,2,CELL_POS_FUSED
BAT__R_GATE_DSG,1,BQ76942_DSG_43
BAT__R_GATE_DSG,2,DSG_GATE
BAT__R_GS_DSG,1,DSG_GATE
BAT__R_GS_DSG,2,PACK_POS_PROTECTED
BAT__D_GS_DSG,1,DSG_GATE
BAT__D_GS_DSG,2,PACK_POS_PROTECTED
BAT__R_CELL_0,1,CELL_B_MINUS
BAT__R_CELL_0,2,CELL0_FILTERED
BAT__R_CELL_1,1,CELL1_TAP
BAT__R_CELL_1,2,CELL1_FILTERED
BAT__R_CELL_2,1,CELL2_TAP
BAT__R_CELL_2,2,CELL2_FILTERED
BAT__R_CELL_3,1,CELL3_TAP
BAT__R_CELL_3,2,CELL3_FILTERED
BAT__C_F0_0,1,CELL0_FILTERED
BAT__C_F0_0,2,FILTER_0_MID
BAT__C_F0_1,1,CELL0_FILTERED
BAT__C_F0_1,2,FILTER_0_MID
