#{"t_start": 1789829171.0171506, "env_id": "None"}
r,l,t
353.933154,1500,30.862209
542.466504,1500,61.629824
1283.113228,1500,93.176976
1214.968538,1500,128.986751
1267.194062,1500,165.634761
1241.005906,1500,199.708589
1012.716728,1500,236.28479
467.90387,1500,271.003555
125.866958,1500,307.999681
1170.357678,1500,342.811118
1029.062446,1500,379.165807
1255.280359,1500,414.745725
1227.351285,1500,451.093461
374.040226,1500,490.186585
959.931522,1500,525.98671
1115.984781,1500,561.367857
625.334002,1500,596.646941
1286.050341,1500,631.775623
1168.575711,1500,677.255445
1297.960437,1500,719.998964
1234.820051,1500,776.558287
