#{"t_start": 1789828351.9770188, "env_id": "None"}
r,l,t
1295.152603,1500,109.751061
1288.820139,1500,175.182147
1132.079125,1500,234.295109
1304.994269,1500,293.400956
1319.296848,1500,348.227142
1234.499006,1500,399.780658
1214.81862,1500,435.271997
1285.343214,1500,470.071317
1289.080553,1500,505.018625
1174.29576,1500,537.914271
270.083257,351,545.057254
1081.986079,1500,576.46995
1024.721336,1500,607.432525
1264.732849,1500,639.231026
1298.776893,1500,670.499509
1261.302073,1500,703.486463
1164.844324,1500,734.384496
