joint,delta,delta2,lag,clip,target_delta,actual_delta,tau_rms,targeterr,hf,peakfreq,target_hf,actual_hf
left_hip_roll,1.012706218058774,2.006755971128855,-0.9631288284263761,0.5270721586883919,0.03710785906600477,0.00734561982246241,0.08569664310638715,0.03555193717487339,0.7983888083603393,24.820362311506933,0.5189810681491378,0.02646884556428441
left_hip_pitch,1.2817846660353307,2.54955637511099,-0.9782411126538678,0.30664912458253213,0.03913518229004211,0.008964086592702756,0.05671701197144342,0.029479701163076168,0.8751561614043623,24.83554296123874,0.07411956377379476,0.004058323497746962
left_knee,0.45648654545829537,0.8719500213532233,-0.8234534007909718,0.0024289039570893635,0.03672018290102066,0.009978596656312701,0.08116120536850807,0.03702584776776366,0.5745725355995799,0.6224066390041494,0.07251801957193707,0.004693891619684687
left_ankle_pitch,0.6668581758428962,1.320970228511904,-0.9630041982242027,0.3110009108389839,0.03663289242706114,0.009875693760401705,0.07462174904895745,0.03661679401694096,0.6475603295389804,24.84060317781601,0.05606052815268386,0.0036864927203269665
left_ankle_roll,0.42080318966444147,0.8223727615762915,-0.9096547838534693,0.31393583645380024,0.027357286451177413,0.00821715143875375,0.10099619899755281,0.03770945804246452,0.23424183677484506,0.6628883716223054,0.056675915477497105,0.0072584178184479054
right_hip_roll,1.1899627865412534,2.36290460967082,-0.9715590801590066,0.1416860641635462,0.0384171106905249,0.00705742180146158,0.09981910253032555,0.04027286526851946,0.869090943881907,24.83048274466147,0.3669414510580629,0.013880020978369753
right_hip_pitch,1.0850773435414076,2.153723972924962,-0.9696467865835994,0.4305232263940897,0.03701518581349254,0.009629048838712866,0.05455063596877407,0.028468485453986794,0.7606113929612242,24.820362311506933,0.0463893840399777,0.002088942552124001
right_knee,1.1230685462396472,2.2230003515260917,-0.9590049536087173,0.20807610565732212,0.03886305875273417,0.010628526576270905,0.13403599916815603,0.052898869296958695,0.7546204461811781,24.84060317781601,0.03889644469107218,0.0017417485339049294
right_ankle_pitch,0.4759750779498491,0.8991837057970073,-0.785039798919193,0.2248760246938569,0.03501536958521968,0.012221755500485591,0.08097621371861621,0.03925382780862286,0.3437468566396353,0.6578281550450359,0.02219810466193091,0.000691997081603912
right_ankle_roll,0.4440178174972977,0.8656354370683349,-0.9015253288271432,0.4509665013662585,0.026346454621999953,0.006632903267940045,0.08131124437488547,0.029671522071975244,0.27097921607679043,0.6628883716223054,0.06276938308361028,0.004713961887728513
