episode,side,start_s,end_s,air_s,peak_mm,supported_fraction,next_ground_s
0,left,0.26,0.28,0.02,-0.061243605734621634,1.0,0.74
0,left,1.02,1.04,0.02,0.003645471234804687,1.0,0.02
0,left,1.06,1.48,0.42,1.3133513944154,1.0,0.12
0,left,1.6,1.62,0.02,0.005956706398497526,1.0,1.1400000000000001
0,left,2.76,2.88,0.12,1.4828352177169,1.0,0.08
0,left,2.96,3.08,0.12,2.1167138630133,1.0,0.86
0,left,3.94,3.96,0.02,0.2920282348665,1.0,0.18
0,left,4.14,4.18,0.04,0.1747481588071,1.0,0.02
0,left,4.2,4.22,0.02,0.02158316736580561,1.0,0.1
0,left,4.32,4.4,0.08,0.3303290030822,1.0,0.08
0,left,4.48,4.54,0.06,1.220327975557,1.0,1.34
0,left,5.88,5.9,0.02,-0.09365038752445308,1.0,0.02
0,left,5.92,5.94,0.02,0.002184887317547039,1.0,0.1
0,left,6.04,6.0600000000000005,0.02,-0.133554206728,1.0,1.12
0,left,7.18,7.2,0.02,0.0834170710821841,1.0,0.02
0,left,7.22,7.24,0.02,0.004075126717850274,1.0,0.04
0,left,7.28,7.3,0.02,-0.01485696143572416,1.0,0.12
0,left,7.42,7.5,0.08,1.5692664392281999,1.0,0.02
0,left,7.52,7.58,0.06,0.5851882217652,1.0,1.32
0,left,8.9,8.98,0.08,0.6981286043765,1.0,0.08
0,left,9.06,9.16,0.1,1.5895906031241,1.0,0.1
0,left,9.26,9.36,0.1,2.777538167762,1.0,0.02
0,left,9.38,9.4,0.02,-0.06885992486764525,1.0,1.12
0,left,10.52,10.54,0.02,0.014586115539161164,1.0,0.02
0,left,10.56,10.6,0.04,0.4604570875295,1.0,0.08
0,left,10.68,10.76,0.08,0.1583470332886,1.0,0.26
0,left,11.02,11.04,0.02,0.02626518016146835,1.0,0.02
0,left,11.06,11.12,0.06,0.1633843395075,1.0,0.9
0,right,1.72,1.84,0.12,1.819492944934,1.0,0.14
0,right,1.98,2.06,0.08,0.7896618122273,1.0,1.34
0,right,3.4,3.48,0.08,1.0505223052283,1.0,0.12
0,right,3.6,3.68,0.08,1.6215491797886,1.0,1.3
0,right,4.98,5.12,0.14,5.4234537985131,1.0,1.48
0,right,6.6000000000000005,6.66,0.06,1.5276947866352,1.0,0.18
0,right,6.84,6.92,0.08,0.4729346201456,1.0,1.24
0,right,8.16,8.26,0.1,1.0530181399331,1.0,0.18
0,right,8.44,8.56,0.12,1.2616465394413998,1.0,1.22
0,right,9.78,9.9,0.12,1.9453106429393,1.0,0.2
0,right,10.1,10.14,0.04,1.7203045987863,1.0,1.3
0,right,11.44,11.6,0.16,3.1363304614831997,1.0,0.14
0,right,11.74,11.76,0.02,-0.07242224126481708,1.0,0.02
0,right,11.78,11.8,0.02,0.4202525654524,1.0,0.22
1,left,0.08,0.14,0.06,0.3707005772138,1.0,0.8200000000000001
